guid,title,pubDate,description,link,media
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',"b'Horoscope Today, 21 March 2022: Check astrological prediction for Capricorn, Aquarius, Pisces, Leo and other signs'","b'Mon, 21 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317274.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',"b'Horoscope Today, 21 March 2022: Check astrological prediction for Capricorn, Aquarius, Pisces, Leo and other signs'","b'Mon, 21 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317274.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',"b'Horoscope Today, 21 March 2022: Check astrological prediction for Capricorn, Aquarius, Pisces, Leo and other signs'","b'Mon, 21 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317274.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',"b'Horoscope Today, 21 March 2022: Check astrological prediction for Capricorn, Aquarius, Pisces, Leo and other signs'","b'Mon, 21 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317274.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',"b'Horoscope Today, 21 March 2022: Check astrological prediction for Capricorn, Aquarius, Pisces, Leo and other signs'","b'Mon, 21 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317274.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',b'Pisces compatibility with Aries',"b'Sun, 20 Mar 2022 18:26:41 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90337307.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',b'Pisces compatibility with Aries',"b'Sun, 20 Mar 2022 18:26:41 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90337307.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',b'Pisces compatibility with Aries',"b'Sun, 20 Mar 2022 18:26:41 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90337307.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',b'Pisces compatibility with Aries',"b'Sun, 20 Mar 2022 18:26:41 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90337307.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',b'Pisces compatibility with Aries',"b'Sun, 20 Mar 2022 18:26:41 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90337307.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/weekly-horoscope-20-march-to-26-march-2022-check-predictions-for-all-zodiac-signs/articleshow/90318322.cms',"b'Weekly Horoscope, 20 March to 26 March 2022: Check predictions for all zodiac signs'","b'Sun, 20 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90318322.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/weekly-horoscope-20-march-to-26-march-2022-check-predictions-for-all-zodiac-signs/articleshow/90318322.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/weekly-horoscope-20-march-to-26-march-2022-check-predictions-for-all-zodiac-signs/articleshow/90318322.cms',"b'Weekly Horoscope, 20 March to 26 March 2022: Check predictions for all zodiac signs'","b'Sun, 20 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90318322.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/weekly-horoscope-20-march-to-26-march-2022-check-predictions-for-all-zodiac-signs/articleshow/90318322.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/weekly-horoscope-20-march-to-26-march-2022-check-predictions-for-all-zodiac-signs/articleshow/90318322.cms',"b'Weekly Horoscope, 20 March to 26 March 2022: Check predictions for all zodiac signs'","b'Sun, 20 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90318322.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/weekly-horoscope-20-march-to-26-march-2022-check-predictions-for-all-zodiac-signs/articleshow/90318322.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/weekly-horoscope-20-march-to-26-march-2022-check-predictions-for-all-zodiac-signs/articleshow/90318322.cms',"b'Weekly Horoscope, 20 March to 26 March 2022: Check predictions for all zodiac signs'","b'Sun, 20 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90318322.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/weekly-horoscope-20-march-to-26-march-2022-check-predictions-for-all-zodiac-signs/articleshow/90318322.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/weekly-horoscope-20-march-to-26-march-2022-check-predictions-for-all-zodiac-signs/articleshow/90318322.cms',"b'Weekly Horoscope, 20 March to 26 March 2022: Check predictions for all zodiac signs'","b'Sun, 20 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90318322.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/weekly-horoscope-20-march-to-26-march-2022-check-predictions-for-all-zodiac-signs/articleshow/90318322.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-20-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90317148.cms',"b'Horoscope Today, 20 March 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs'","b'Sun, 20 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317148.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-20-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90317148.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-20-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90317148.cms',"b'Horoscope Today, 20 March 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs'","b'Sun, 20 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317148.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-20-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90317148.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-20-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90317148.cms',"b'Horoscope Today, 20 March 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs'","b'Sun, 20 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317148.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-20-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90317148.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-20-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90317148.cms',"b'Horoscope Today, 20 March 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs'","b'Sun, 20 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317148.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-20-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90317148.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-20-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90317148.cms',"b'Horoscope Today, 20 March 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs'","b'Sun, 20 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317148.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-20-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90317148.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',"b'Horoscope Today, 19 March 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs'","b'Sat, 19 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90168819.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',"b'Horoscope Today, 19 March 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs'","b'Sat, 19 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90168819.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',"b'Horoscope Today, 19 March 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs'","b'Sat, 19 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90168819.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',"b'Horoscope Today, 19 March 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs'","b'Sat, 19 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90168819.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',"b'Horoscope Today, 19 March 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs'","b'Sat, 19 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90168819.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',"b'Horoscope Today, 18 March 2022: Check astrological prediction for Virgo, Libra, Scorpio, Sagittarius and other signs'","b'Fri, 18 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90167934.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',"b'Horoscope Today, 18 March 2022: Check astrological prediction for Virgo, Libra, Scorpio, Sagittarius and other signs'","b'Fri, 18 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90167934.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',"b'Horoscope Today, 18 March 2022: Check astrological prediction for Virgo, Libra, Scorpio, Sagittarius and other signs'","b'Fri, 18 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90167934.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',"b'Horoscope Today, 18 March 2022: Check astrological prediction for Virgo, Libra, Scorpio, Sagittarius and other signs'","b'Fri, 18 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90167934.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',"b'Horoscope Today, 18 March 2022: Check astrological prediction for Virgo, Libra, Scorpio, Sagittarius and other signs'","b'Fri, 18 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90167934.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-relationship-with-family/articleshow/90293666.cms',b'Pisces Relationship with Family',"b'Thu, 17 Mar 2022 18:09:03 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90293666.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-relationship-with-family/articleshow/90293666.cms',
